EN;RU;AZ
DVD;DVD;DVD
Towel;Полотенце;Dəsmal
Shaver;Бритва;Ülgüc
Box;Коробка;Qutu
Tobacco products;Табачные изделия;Tütün məhsulları
Digital Cameras                              ;Цифровые камеры;Rəqəmsal kameralar
Computer accessories;Компьютерные аксессуары;Kompüter aksesuarları
Gaming accessories;Игровые аксессуары;Oyun aksesuarları
Jewellery Sterling Silver and Gold-Plated;Ювелирные изделия из стерлингового серебра и позолоты;Gümüş və Qızıl Nömrəli Zərgərlik
Game console;Игровая консоль;Oyun konsolu
Makeup Brushes, Eyeshadows, Blushes, Mascara,;Кисти для макияжа, тени для век, румяна, тушь;Makiyaj fırçaları, göz kölgəsi, ənlik, tuş
Laptops;Ноутбуки;Noutbuklar
Playstation;Игровая приставка;Oyun konsolu
Tablet;Планшет;Tablet
Home phone;Домашний телефон;Ev Telefonu
Sunglasses;Солнцезащитные Очки;Günəş eynəyi
Tea, Coffee, chocolate, Candy;Чай, Кофе, шоколад, Конфеты;Çay, Qəhvə, Şokolad, Şirniyyat
Clothing Accessories;Одежда и аксессуары;Geyim və aksesuarlar
Porcelain;Фарфор;Çini
Bag;Сумка;Bir çanta
Stationery;Канцелярские товары;Dəftərxana ləvazimatı
Telescopes / Microscopes;Телескопы / Микроскопы;Teleskoplar / Mikroskoplar
Household Appliances;Бытовая техника;Texnikalar
Medicine;Лекарство;Dərman
Spare Parts;Запчасти;Ehtiyat hissələri
Sport Goods;Спортивные товары;İdman malları
Phone Cases;Чехлы для телефонов;Telefon kassaları
TV Set;Телевизор;Televizor
Game CD;CD с игрой;Oyun ilə CD
Car Parts;Автомобильные запчасти;Avtomobil hissələri
Headphones;Наушники;Qulaqlıqlar
Tools;Инструменты;Alətlər
Mobile Phones;Мобильные телефоны;Mobil telefonlar
Powerbank;Внешний аккумулятор;Xarici batareya
Deodorant spray;Дезодорант-спрей;Dezodorant spreyi
Other;Разное;miscellanea
Purse;Кошелек;Pul kisəsi
Controller;Контроллер;Nəzarətçi
Perfumes;Парфюмерия;Ətir
Jeans;Джинсы;Cins geyimlər
Sweatshirt;Фуфайка;Sweatshirt
Shoe;Обувь;Ayaqqabı
Suit;Подходить;Kostyum
Iron;Железо;Dəmir
Glasses;Очки;Eynək
Bedclothes;Постельное белье;Çarşaflar
Book;Книга;Kitab
Toy;Игрушка;Oyuncaq
Clock/Watch;Часы / Часы;Saat / Saat
Cosmetics;Косметические средства;Kosmetika
Blender;Блендер;Qarışdıran
Accessories;Аксессуары;Aksesuarlar
Mirror;Зеркало;Güzgü
Food processor;Кухонный комбайн;Qida prosessoru
Breast pump;Молокоотсос;Döş pompası
Table cloth;Скатерть;Süfrə
Spare parts;Запчасти;Ehtiyat hissələri
Dinner service;Обеденный сервис;Nahar xidməti
Dog food;Собачья еда;İt yeməyi
Flask;Колба;Şüşə
Medical products;Медицинские изделия;Tibbi avadanlıqlar
Business card;Визитная карточка;Vizit kartı
Cookware ;Посуда;Süfrə
Thermometer;Термометр;Termometr
Puzzle;Головоломка;Tapmaca
Coffee maker;Кофеварка;Qəhvə bişirən
Keyboard;Клавиатура;Klaviatura
Memory card;Карта памяти;Yaddaş kartı
Home textile products;Товары домашнего текстиля;Ev toxuculuq məhsulları
Machine-made carpet;Ковер машинный;Maşın xalçası
Herbal products;Травяные продукты;Bitki mənşəli məhsullar
Painting;Картина;Şəkil
Electric toothbrush;Электрическая зубная щетка;Elektrikli diş fırçası
Water filter strainer;Сетчатый фильтр для воды;Su mesh filtri
Camera;Камера;Kamera
Hair dryer;Фен;Saç qurudan
Umbrella;Зонтик;Çətir
Auto accessory;Автоаксессуар;Avto aksesuar
Candlestick;Подсвечник;Şamdan
Cartridge;Картридж;Kartric
Pillow;Подушка;Yastıq
Hair dye;Краска для волос;Saç boyası
Blouse;Блузка;Bluza
Dress;Платье;Don
Sweater;Свитер;Sviter
Cardigan;Кардиган;Hırka
Shirt;Рубашка;Köynək
T-shirt;Футболка;T-shirt
Trousers;Брюки;Şalvar
Coat;Пальто;Palto
Hat;Шапка;Qapaq
Skirt;Юбка;Ətək
Socks;Носки;Corablar
Pyjamas;Пижамы;Pijama
Coat;Пальто;Palto
Baby dress;Детское платье;Uşaq paltarı
Scarf;Шарф;Eşarp
Glass products;Стеклянные изделия;Şüşə məhsulları
Washing liquid;Жидкость для стирки;Camaşırxana mayesi
Underclothes;Нижнее белье;Alt paltarları
Pillowcase;Наволочка;Yastıq kılıfı
Soap bar;Кусок мыла;Bir parça sabun
Vinyl covering;Виниловое покрытие;Vinil örtük
Front bumper;Передний бампер;Ön bamper
Plastic bag;Полиэтиленовый пакет;Plastik torba
Toothbrush;Зубная щетка;Diş fırçası
Pen/Pencil;Ручка карандаш;Qələm-qələm
Sweatsuit;Тренировочный костюм;Təlim kostyumu
Phone case;Телефонный чехол;Telefon qabı
Topcoat;Верхнее покрытие;Üst qapaq
Popcorn maker;Производитель попкорна;Popcorn Maker
Belt;Ремень;Kəmər
Preservative;Консервант;Qoruyucu
Cup;Чашка;Bir fincan
Glove;Перчатка;Əlcək
Container;Контейнер;Konteyner
Bathrobe;Махровый халат;Xalat
Blanket;Покрывало на кровать;Yorğan
Mat;Мат;Mat
Mouse;Мышь;Siçan
Satellite receiver;Спутниковый ресивер;Peyk qəbuledicisi
Rosary;Розарий;Gül bağı
Tie;Галстук;Qalustuk
Radio;Радио;Radio
Vest;Жилет;Jilet
Frame;Рамка;Çərçivə
Butcher knife;Нож мясника;Qəssab bıçağı
Tunic;Туника;Tunika
Painting sets;Наборы для рисования;Rəsm dəstləri
Groundsill;Мельница;Dəyirman
Pipet;Пипетка;Pipet
Toaster;Тостер;Toster
Vacuum cleaner;Пылесос;Tozsoran
Document;Документ;Sənəd
Dish;Блюдо;Yemək
Printer;Принтер;printer
Freezer bag;Сумка для морозильной камеры;Dondurucu çanta
Quilt;Одеяло;Yorğan
Coffee;Кофе;Qəhvə
Cutlery pack;Пакет столовых приборов;Yemək bıçağı paketi
Air conditioner;Кондиционер;Kondisioner
Massage futon;Массажный футон;Masaj futon
Shoelace;Шнурки;Bağlar
Desk calendar;Настольный календарь;Stol təqvimi
Dish drainer;Сушилка для посуды;Drenaj
Organizer;Организатор;Təşkilatçı
Wet wipe;Влажные салфетки;Nəm salfetlər
Comb;Расческа;Daraq
Nose cleaner;Очиститель носа;Burun təmizləyici
Baby care products;Детские товары;Uşaq məhsulları
Baby diaper;Детские подгузники;Uşaq bezləri
Magazine case;Случай журнала;Jurnal vəziyyəti
Optic lens;Оптическая линза;Optik lens
Teat;Соска;Məmə
Test strip;Тест-полоска;Test zolağı
Kangaroo;Кенгуру;Kenquru
Shock absorber;Амортизатор;Amortizator
Cushion;Подушка;Yastıq
Handkerchief;Носовой платок;Dəsmal
Chocolate;Шоколад;Şokolad
Lemon squeezer;Соковыжималка для лимона;Limon şirəçəkən
Table and chairs;Столы и стулья;Masalar və stullar
Wall shelf;Настенные полки;Divar rəfləri
Lens;Линза;Lens
Foot files;Напильники для ног;Ayaq faylları
Gift box;Подарочная коробка;Hədiyyə qutusu
Carpet;Ковровая дорожка;Xalça
Shawm-and-drum;Шаум-и-барабан;Səs-təbil
Pinafore;Сарафан;Sarafan
Musical instruments;Музыкальные инструменты;Musiqi alətləri
Nail & hand care products;Средства по уходу за ногтями и руками;Dırnaqların və əllərin baxımı üçün məhsullar
Welding equipment;Сварочное оборудование;qaynaq avadanlığı
Instant coffee;Быстрорастворимый кофе;Hazır qəhvə
Scales;Весы;Tərəzi
Bathroom sets;Наборы для ванных комнат;Hamam dəstləri
Juice;Сок;Şirə
Plant and seed;Растение и семена;Bitki və toxum
Detergent;Моющее средство;Yuyucu
Dresser;Комод;Çekmeceli sandıq
Healthy snacks;Здоровые закуски;Sağlam qəlyanaltılar
Briefs;Трусы;Alt paltar
Maternity sleepwear;Одежда для беременных;Hamilə qadınlar üçün paltar
Sleeping bag;Спальный мешок;Yuxu çantası
Baby stroller;Детская коляска;Körpə arabası
Lock;Замок;Bağlamaq
Maternity clothes;Одежда для беременных;Hamilə qadınlar üçün paltar
Maternity coats;Пальто для беременных;Analıq palto
Cotton & Ear sticks;Хлопковые и ушные палочки;Pambıq və qulaq çubuqları
Nail polish & remover;Жидкость для снятия лака;Dırnaq boyası silən
Bridal accessories;Свадебные аксессуары;Toy aksesuarları
Hubcaps;Колпачки;Caps
Wax;Воск;Mum
Nappy bag;Сумка для подгузников;Uşaq bezi çantası
Runner;Бегун;Qaçan
Supra-aural headphones;Сверхзвуковые наушники;Səsdən sürətli qulaqlıq
Pencil case;Пенал;Qələm qutusu
Silver bracelets;Серебряные браслеты;Gümüş bilərziklər
Stickers;Наклейки;Etiketler
Floor lamp;Наполная лампа;Döşəmə lampası
Babydoll;Кукла;Kukla
Smart watches;Умные часы;Ağıllı saat
Play carpets;Коврики для игр;Paspaslar oynayır
Manicure and pedicure tools;Инструменты для маникюра и педикюра;Manikür və pedikür üçün alətlər
Foot accessories;Аксессуары для ног;Ayaq aksesuarları
Religious clothing;Религиозная одежда;Dini geyim
Baby food;Детская еда;Uşaq qidası
Party equipments;Праздничное оборудование;Ziyafət avadanlığı
Cat carriers & strollers;Переноски и коляски для кошек;Pişiklər üçün daşıyıcılar və uşaq arabaları
Cat beds;Кровати для кошек;Pişiklər üçün yataqlar
Hair brushes;Щетки для волос;Saç fırçaları
Food choppers;Измельчители еды;Qida kəsiciləri
Maternity panties;Трусики для беременных;Hamiləlik külotları
Room deodorizer;Дезодорант для комнаты;Otaq üçün dezodorant
Aftershave & skin care products;Средства после бритья и ухода за кожей;Təraşdan sonra və dəriyə qulluq
Shaving foam & gels;Пена и гели для бритья;Təraş köpüyü və jelləri
Juicers;Соковыжималки;Şirəçəkənlər
Epilators;Эпиляторы;Epilyatorlar
Car cleaning products;Средства для чистки автомобилей;Avtomobil təmizləyici məhsullar
Earring;Серьга;Sırğa
Maternity socks;Носки для беременных;Hamilə qadınlar üçün corablar
Lighting equipments;Осветительное оборудование;İşıq avadanlığı
Baby soaps;Детское мыло;Uşaq sabunu
Face serum;Сыворотка для лица;Üz serumu
Anti-aging & anti-wrinkle blends;Смеси против старения и против морщин;Yaşlanma və qırışa qarşı qarışıqlar
Smart bracelet;Умный браслет;Ağıllı bilərzik
Eye care products;Средства по уходу за глазами;Gözə qulluq məhsulları
Beach bags;Пляжные сумки;Çimərlik çantaları
Baby towels & bathrobe;Детские полотенца и халат;Uşaq dəsmalları və xalatı
Novel;Роман;Roman
Fitness and cross training shoes;Обувь для фитнеса и кросс-тренинга;Fitness & Cross İdman Ayaqqabıları
Laptop bag/Document organizer;Сумка для ноутбука / Органайзер для документов;Laptop çantası / Sənəd təşkilatçısı
Swing Sets & Playsets;Качели и игровые наборы;Yelləncəklər və oyun dəstləri
Toy cars;Игрушечные машинки;Oyuncaq maşınlar
Bracelets;Браслеты;Bilərziklər
Anti-cellulite products;Антицеллюлитные средства;Selülit əleyhinə məhsullar
Academic literature;Академическая литература;Akademik ədəbiyyat
Hairband;Лента для волос;Saç bandı
Wooden toys;Деревянные игрушки;Taxta Oyuncaqlar
Pique set;Набор пике;Pique dəsti
Other skin care products;Другие средства по уходу за кожей;Digər dəriyə qulluq məhsulları
Baby shampoo;Детский шампунь;Körpə şampunu
Hair foam;Пена для волос;Saç köpüyü
Breastfeeding pillows;Подушки для кормления грудью;Emzirmə yastıqları
Toddler & Kids pillows, pillow cases;Подушки для малышей и детей, наволочки;Körpələr və uşaqlar üçün yastıqlar, yastıq kisələri
Battery;Аккумулятор;Batareya
Curling Irons & Stylers;Щипцы для завивки и щипцы для завивки;Buruq dəmir və qıvrım dəmir
Sheet & Pillowcase Sets;Наборы простыней и наволочек;Çarşaf və yastıq çantaları dəstləri
Kimono/Caftan;Кимоно / Кафтан;Kimono / Kaftan
